"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"AUT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",18.053211411,"
"AUT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",17.728884245,"
"AUT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",17.04325299,"
"AUT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",15.670899643,"
"BEL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",5.9128630705,"
"BEL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",3.2989003665,"
"BEL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",4.672,"
"CZE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",15.378835316,"
"CZE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",16.254560195,"
"CZE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",16.455154158,"
"CZE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",16.023430838,"
"CZE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2017"",15.614010894,"
"DNK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",6.7689119452,"
"DNK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",6.3238656948,"
"DNK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",5.8360481128,"
"DNK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",5.7326280384,"
"FIN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",20.178432711,"
"FIN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",19.609079445,"
"FIN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",18.055981324,"
"FIN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",16.47225837,"
"FRA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",9.8721023181,"
"DEU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",14.065934066,"
"DEU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",17.447916667,"
"DEU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",15.816326531,"
"DEU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",15.510718789,"
"GRC,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",11.273731296,"
"GRC,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",9.0909090909,"
"GRC,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",6.25,"
"GRC,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",4.4850498339,"
"HUN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",8.7236506348,"
"HUN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",3.7726055271,"
"HUN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",9.5238095238,"
"HUN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",9.3643171806,"
"IRL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",12.769827795,"
"IRL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",15.173428116,"
"IRL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",14.448940728,"
"IRL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",10.611735331,"
"ITA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",5.5555555533,"
"ITA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",5.5555555533,"
"LUX,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",3.4029167858,"
"NLD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.11468179,"
"POL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",11.07286288,"
"POL,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",9.4178809362,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",16.666666667,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",18.879690138,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",18.917016404,"
"PRT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",14.285714286,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",14.109329757,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.350047529,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",13.376624885,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",13.899182143,"
"SVK,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2017"",15.040042332,"
"ESP,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",11.540497618,"
"SWE,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",13.420490928,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",17.482014388,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",17.382742571,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",17.101551481,"
"GBR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",16.839736933,"
"EST,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",28.339350181,"
"SVN,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",4.9962714392,"
"LVA,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",21.122994652,"
"LTU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",12.479740681,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2013"",14.2834362410227,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",14.2351429670489,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2015"",14.2554439715556,"
"OECD,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2016"",13.8922071020086,"
"BGR,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",4.0625,"
"CYP,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",13.409234662,"
"MLT,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",8.9894606324,"
"ROU,""WAGEGAP"",""TOT"",""PC_MENWAGE"",""A"",""2014"",1.5463917526,"
